[08/11 09:05:36][INFO] __main__:  241: Config: config/frame_selector/ssv2_bimhm_cache.yaml
[08/11 09:05:36][INFO] __main__:  242: Cache dir: data/feat_cache/ssv2/ViT-B-16_T32
[08/11 09:05:36][INFO] __main__:  243: Tag: ViT-B-16_T32 | Storage: FP16
[08/11 09:05:36][INFO] __main__:  248: Loading ViT-B/16 on cuda...
[08/11 09:05:37][INFO] __main__:  256: Backbone loaded: 86,192,640 params (frozen)
[08/11 09:05:37][INFO] __main__:  261: Using specified splits: ['train', 'val', 'test']
[08/11 09:05:37][INFO] __main__:  101: [train] 67013 videos 鈫?extracting CLIP features...
[08/11 09:05:40][INFO] __main__:  152:   [train] 100/67013 (+100 / skipped 0 / err 0) | 29.4 v/s | ETA 0:37:59
[08/11 09:05:44][INFO] __main__:  152:   [train] 200/67013 (+200 / skipped 0 / err 0) | 30.8 v/s | ETA 0:36:10
[08/11 09:05:47][INFO] __main__:  152:   [train] 300/67013 (+300 / skipped 0 / err 0) | 31.3 v/s | ETA 0:35:32
[08/11 09:05:50][INFO] __main__:  152:   [train] 400/67013 (+400 / skipped 0 / err 0) | 31.5 v/s | ETA 0:35:12
[08/11 09:05:53][INFO] __main__:  152:   [train] 500/67013 (+500 / skipped 0 / err 0) | 31.7 v/s | ETA 0:35:00
[08/11 09:05:56][INFO] __main__:  152:   [train] 600/67013 (+600 / skipped 0 / err 0) | 31.8 v/s | ETA 0:34:50
[08/11 09:05:59][INFO] __main__:  152:   [train] 700/67013 (+700 / skipped 0 / err 0) | 31.8 v/s | ETA 0:34:43
[08/11 09:06:02][INFO] __main__:  152:   [train] 800/67013 (+800 / skipped 0 / err 0) | 31.9 v/s | ETA 0:34:37
[08/11 09:06:05][INFO] __main__:  152:   [train] 900/67013 (+900 / skipped 0 / err 0) | 31.9 v/s | ETA 0:34:31
[08/11 09:06:08][INFO] __main__:  152:   [train] 1000/67013 (+1000 / skipped 0 / err 0) | 31.9 v/s | ETA 0:34:27
[08/11 09:06:11][INFO] __main__:  152:   [train] 1100/67013 (+1100 / skipped 0 / err 0) | 32.0 v/s | ETA 0:34:22
[08/11 09:06:15][INFO] __main__:  152:   [train] 1200/67013 (+1200 / skipped 0 / err 0) | 32.0 v/s | ETA 0:34:17
[08/11 09:06:18][INFO] __main__:  152:   [train] 1300/67013 (+1300 / skipped 0 / err 0) | 32.0 v/s | ETA 0:34:13
[08/11 09:06:21][INFO] __main__:  152:   [train] 1400/67013 (+1400 / skipped 0 / err 0) | 32.0 v/s | ETA 0:34:09
[08/11 09:06:24][INFO] __main__:  152:   [train] 1500/67013 (+1500 / skipped 0 / err 0) | 32.0 v/s | ETA 0:34:05
[08/11 09:06:27][INFO] __main__:  152:   [train] 1600/67013 (+1600 / skipped 0 / err 0) | 32.0 v/s | ETA 0:34:02
[08/11 09:06:30][INFO] __main__:  152:   [train] 1700/67013 (+1700 / skipped 0 / err 0) | 32.0 v/s | ETA 0:33:58
[08/11 09:06:33][INFO] __main__:  152:   [train] 1800/67013 (+1800 / skipped 0 / err 0) | 32.0 v/s | ETA 0:33:54
[08/11 09:06:36][INFO] __main__:  152:   [train] 1900/67013 (+1900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:51
[08/11 09:06:39][INFO] __main__:  152:   [train] 2000/67013 (+2000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:47
[08/11 09:06:43][INFO] __main__:  152:   [train] 2100/67013 (+2100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:44
[08/11 09:06:46][INFO] __main__:  152:   [train] 2200/67013 (+2200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:40
[08/11 09:06:49][INFO] __main__:  152:   [train] 2300/67013 (+2300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:37
[08/11 09:06:52][INFO] __main__:  152:   [train] 2400/67013 (+2400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:34
[08/11 09:06:55][INFO] __main__:  152:   [train] 2500/67013 (+2500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:31
[08/11 09:06:58][INFO] __main__:  152:   [train] 2600/67013 (+2600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:27
[08/11 09:07:01][INFO] __main__:  152:   [train] 2700/67013 (+2700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:24
[08/11 09:07:04][INFO] __main__:  152:   [train] 2800/67013 (+2800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:21
[08/11 09:07:07][INFO] __main__:  152:   [train] 2900/67013 (+2900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:18
[08/11 09:07:11][INFO] __main__:  152:   [train] 3000/67013 (+3000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:14
[08/11 09:07:14][INFO] __main__:  152:   [train] 3100/67013 (+3100 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:11
[08/11 09:07:17][INFO] __main__:  152:   [train] 3200/67013 (+3200 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:08
[08/11 09:07:20][INFO] __main__:  152:   [train] 3300/67013 (+3300 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:05
[08/11 09:07:23][INFO] __main__:  152:   [train] 3400/67013 (+3400 / skipped 0 / err 0) | 32.1 v/s | ETA 0:33:02
[08/11 09:07:26][INFO] __main__:  152:   [train] 3500/67013 (+3500 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:59
[08/11 09:07:29][INFO] __main__:  152:   [train] 3600/67013 (+3600 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:56
[08/11 09:07:32][INFO] __main__:  152:   [train] 3700/67013 (+3700 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:53
[08/11 09:07:35][INFO] __main__:  152:   [train] 3800/67013 (+3800 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:49
[08/11 09:07:39][INFO] __main__:  152:   [train] 3900/67013 (+3900 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:46
[08/11 09:07:42][INFO] __main__:  152:   [train] 4000/67013 (+4000 / skipped 0 / err 0) | 32.1 v/s | ETA 0:32:43
